Key,Type,Desc,English,Chinese,ChineseTraditional,German,Portuguese,Russian,Italian,Spanish,Polish,Japanese,Korean,Vietnamese,French
Green90CardName,Text,,Malicious Splitter,恶毒分裂者,惡毒分裂者,,,,,,,悪辣なスプリッター,,,
Green90FlavourText,Text,,,,,,,,,,,,,,
Green90aCardDescription,Text,,Evolve,进化,進化,,,,,,,進化,,,
Green90aCardName,Text,,Malicious Splitter,恶毒分裂者,惡毒分裂者,,,,,,,悪辣なスプリッター,,,
Green90aFlavourText,Text,,,,,,,,,,,,,,
Green91CardDescription,Text,,"Evolve

Defeated: Incubate a replica of the follower without the Defeated keyword on adjacent tile, and transfer all Evolve effects gained by the follower to the copy.","进化

阵亡：在其相邻格子上孵化一个不带被摧毁：关键词的该随从复制品，并将该随从之前所获所有进化效果转移到复制品上","進化

陣亡：在其相鄰格子上孵化一個不帶被摧毀：關鍵字的該隨從複製品，並將該隨從之前所獲所有進化效果轉移到複製品上",,,,,,,"進化

死亡：隣接するマスに「被破壊：」のキーワードを持たない従者の複製品を一体孵化し、この従者が前に獲得した全ての進化効果をその複製品に移す",,,
Green91CardName,Text,,Giant Splitter,巨大的分裂者,巨大的分裂者,,,,,,,巨大なスプリッター,,,
Green91FlavourText,Text,,,,,,,,,,,,,,
Green91aCardDescription,Text,,Evolve,进化,進化,,,,,,,進化,,,
Green91aCardName,Text,,Giant Splitter,巨大的分裂者,巨大的分裂者,,,,,,,巨大なスプリッター,,,
Green91aFlavourText,Text,,,,,,,,,,,,,,
Green92CardDescription,Text,,"Block 1, Shapechange:

Become a {{Green92a}}","格挡1，变形：

变成一个{{Green92a}}","格擋1，變形：

變成一個{{Green92a}}",,,,,,,"ブロック1, 変形：

{{Green92a}}に変形する",,,
Green92CardName,Text,,Peaceful Bedbug,和平的臭虫,和平的臭蟲,,,,,,,平和なトコジラミ,,,
Green92FlavourText,Text,,,,,,,,,,,,,,
Green92aCardDescription,Text,,"Combo 1, Shapechange:

Become a {{Green92}}","连击1，变形：

变成一个{{Green92}}","連擊1，變形：

變成一個{{Green92}}",,,,,,,"連撃1, 変形:

{{Green92}}に変形する",,,
Green92aCardName,Text,,Enraged Bedbug,被激怒的臭虫,被激怒的臭蟲,,,,,,,激怒したトコジラミ,,,
Green92aFlavourText,Text,,,,,,,,,,,,,,
Green93CardDescription,Text,,"Block 2, Shapechange:

Become a {{Green93a}}","格挡2，变形：

变成一个{{Green93a}}","格擋2，變形：

變成一個{{Green93a}}",,,,,,,"ブロック2, 変形：

{{Green93a}}に変形する",,,
Green93CardName,Text,,Giant Bedbug,巨大的臭虫,巨大的臭蟲,,,,,,,巨大なトコジラミ,,,
Green93FlavourText,Text,,,,,,,,,,,,,,
Green93aCardDescription,Text,,"Combo 2, Shapechange:

Become a {{Green93}}","连击2，变形：

变成一个{{Green93}}","連擊2，變形：

變成一個{{Green93}}",,,,,,,"連撃2、変形：

{{Green93}}に変形する",,,
Green93aCardName,Text,,Malicious Bedbug,恶毒臭虫,惡毒臭蟲,,,,,,,悪辣なトコジラミ,,,
Green93aFlavourText,Text,,,,,,,,,,,,,,
Green94CardDescription,Text,,"Block 3, Shapechange:

Become a {{Green94a}}","格挡3，变形：

变成一个{{Green94a}}","格擋3，變形：

變成一個{{Green94a}}",,,,,,,"ブロック3, 変形：

{{Green94a}}に変形する",,,
Green94CardName,Text,,Alien Bedbug,异形臭虫,異形臭蟲,,,,,,,ミュータントトコジラミ,,,
Green94FlavourText,Text,,,,,,,,,,,,,,
Green94aCardDescription,Text,,"Combo 3, Shapechange:

Become a {{Green94}}","连击3，变形：

变成一个{{Green94}}","連擊3，變形：

變成一個{{Green94}}",,,,,,,"連撃3、変形：

{{Green94}}に変形する",,,
Green94aCardName,Text,,Barbarous Bedbug,野蛮臭虫,野蠻臭蟲,,,,,,,野蛮なトコジラミ,,,
Green94aFlavourText,Text,,,,,,,,,,,,,,
Green95CardDescription,Text,,"Shapechange

Become a {{Green96}}","变形

变成一个{{Green96}}","變形

變成一個{{Green96}}",,,,,,,"変形

{{Green96}}に変形する",,,
Green95CardName,Text,,Jungle Butterfly,丛林蝴蝶,叢林蝴蝶,,,,,,,ジャングルの蝶,,,
Green95FlavourText,Text,,,,,,,,,,,,,,
Green96CardDescription,Text,,"Combo 1, Shapechange:

Turns into a {{Green97}}","连击1，变形：

变成一个{{Green97}}","連擊1，變形：

變成一個{{Green97}}",,,,,,,"連撃1,変形:

{{Green97}}に変形する",,,
Green96CardName,Text,,Giant Butterfly,巨型蝴蝶,巨型蝴蝶,,,,,,,巨大な蝶,,,
Green96FlavourText,Text,,,,,,,,,,,,,,
Green97CardDescription,Text,,"Combo 2, Thrust 1",连击2，突进1,連擊2，突進1,,,,,,,連撃2、突進1,,,
Green97CardName,Text,,Alien Butterfly,异形蝴蝶,異形蝴蝶,,,,,,,ミュータント蝶,,,
Green97FlavourText,Text,,,,,,,,,,,,,,
Green98CardDescription,Text,,"Shapechange:

When the follower shapechanges, it gains the following effects in order while losing the previous shapechange effect: Burn 1, Combo 1, Thrust 1, Burn 2, Combo 2, Thrust 2","变形：

当此随从变形时，按顺序获得以下效果，同时失去上一个变形效果：灼烧1，连击1，突进1，灼烧2，连击 2，突进2","變形：

當此隨從變形時，按順序獲得以下效果，同時失去上一個變形效果：灼燒1，連擊1，突進1，灼燒2，連擊 2，突進2",,,,,,,"変形：

この従者が変形すると、次の効果を順番に獲得し、前の一つの変形効果を失う：燃焼1、連撃1、突進1、燃焼2、連撃2、突進2",,,
Green98CardName,Text,,Jungle Alien,丛林异形者,叢林異形者,,,,,,,ジャングルミュータント,,,
Green98FlavourText,Text,,"For some inhabitants of the jungle, constantly shifting forms presents a challenge to overcome. For others, it is simply a way of life.",对于丛林中的某些人而言，不断变化的形态是一种需要解决的问题。对于其他人来说，这是一种生活方式。,對於叢林中的某些人而言，不斷變化的形態是一種需要解決的問題。對於其他人來說，這是一種生活方式。,,,,,,,ジャングルの中の一部の人にとって、変化し続ける形態は解決すべき問題で。他の人にとっては、それは一種生き方である。,,,
Green99CardDescription,Text,,"Shapechange:

When a follower shapechanges, it gains the following effects in order while losing the previous shapechange effect: Burn 2, Combo 2, Thrust 2, Burn 3, Combo 3, Thrust 3","变形：

当次随从变形时，按顺序获得以下效果，同时失去上一个变形效果：灼烧2，连击2，突进2，灼烧3，连击3，突进3","變形：

當次隨從變形時，按順序獲得以下效果，同時失去上一個變形效果：灼燒2，連擊2，突進2，灼燒3，連擊3，突進3",,,,,,,"変形：

この従者が変形すると、次の効果を順番に獲得し、前の一つの変形効果を失う：燃焼2、連撃2、突進2、燃焼3、連撃3、突進3",,,
Green99CardName,Text,,Adv. Alien,高级异形者,高級異形者,,,,,,,上級ミュータント,,,
Green99FlavourText,Text,,"Some have changed so frequently over time that they forget who they once were, becoming an entirely new person every day.",有些人因为长期频繁地变形，使得他们忘记了自己曾经是谁，而每天都变成一个新的人。,有些人因為長期頻繁地變形，使得他們忘記了自己曾經是誰，而每天都變成一個新的人。,,,,,,,長期間にわたって頻繁に変形しているせいで以前の自我を忘れてしまい、毎日新しい人間になっている人もいるぐらいだ。,,,
GreenEvolve01CardDescription,Text,,All units with Evolve inflict Burn 1 when attacking,所有拥有进化的单位都获得攻击附带灼烧1,所有擁有進化的單位都獲得攻擊附帶灼燒1,,,,,,,進化を持つ全てのユニットが攻撃が燃焼1を付与する能力を獲得する,,,
GreenEvolve01CardName,Text,,Flame Blessing,火焰祝福,火焰祝福,,,,,,,炎の祝福,,,
GreenEvolve01FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve02CardDescription,Text,,All units with Evolve gain Combo +1,所有拥有进化的单位都获得连击+1,所有擁有進化的單位都獲得連擊+1,,,,,,,進化を持つ全てのユニットが連撃+1を獲得する,,,
GreenEvolve02CardName,Text,,Combo Blessing,连击祝福,連擊祝福,,,,,,,連撃の祝福,,,
GreenEvolve02FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve03CardDescription,Text,,All units with Evolve gain Range +1 (does not apply to diagonal attacks or units that can target allied units),所有拥有进化的单位都增加1点射程（对对角线攻击及可以友方单位作为目标的单位无效）,所有擁有進化的單位都增加1點射程（對對角線攻擊及可以友方單位作為目標的單位無效）,,,,,,,進化を持つ全てのユニットの射程が1増加する（対角線攻撃と味方ユニットをターゲットにすることができるユニットには無効）,,,
GreenEvolve03CardName,Text,,Ranger Blessing,游侠祝福,遊俠祝福,,,,,,,レンジャーの祝福,,,
GreenEvolve03FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve04CardDescription,Text,,All units with Evolve gain Thrust 1,所有拥有进化的单位都获得突进1,所有擁有進化的單位都獲得突進1,,,,,,,進化を持つ全てのユニットが突進1を獲得する,,,
GreenEvolve04CardName,Text,,Thrust Blessing,突进祝福,突進祝福,,,,,,,突進の祝福,,,
GreenEvolve04FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve05CardDescription,Text,,All units with Evolve gain Grow +1/+1,所有拥有进化的单位都获得成长+1/+1,所有擁有進化的單位都獲得成長+1/+1,,,,,,,進化を持つ全てのユニットが成長+1/+1を獲得する,,,
GreenEvolve05CardName,Text,,Grow Blessing,成长祝福,成長祝福,,,,,,,成長の祝福,,,
GreenEvolve05FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve06CardDescription,Text,,All units with Evolve gain Guardian,所有拥有进化的单位都获得守卫,所有擁有進化的單位都獲得守衛,,,,,,,進化を持つ全てのユニットが守衛を獲得する,,,
GreenEvolve06CardName,Text,,Guard Blessing,守护祝福,守護祝福,,,,,,,守護の祝福,,,
GreenEvolve06FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve07CardDescription,Text,,All units with Evolve gain Counterattack,所有拥有进化的单位都获得反击,所有擁有進化的單位都獲得反擊,,,,,,,進化を持つ全てのユニットが反撃を獲得する,,,
GreenEvolve07CardName,Text,,Revenge Blessing,复仇祝福,復仇祝福,,,,,,,復讐の祝福,,,
GreenEvolve07FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve08CardDescription,Text,,All units with Evolve gain +3/+0 until the end of your turn.,所有拥有进化的单位都在你的回合结束前获得+3/+0,所有擁有進化的單位都在你的回合結束前獲得+3/+0,,,,,,,進化を持つ全てのユニットがあなたのターン終了前に+3/+0を獲得する,,,
GreenEvolve08CardName,Text,,Strength Blessing,力量祝福,力量祝福,,,,,,,力の祝福,,,
GreenEvolve08FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve09CardDescription,Text,,All units with Evolve gain block 3,所有拥有进化的单位都获得格挡3,所有擁有進化的單位都獲得格擋3,,,,,,,進化を持つ全てのユニットがブロック3を獲得する,,,
GreenEvolve09CardName,Text,,Block Blessing,格挡祝福,格擋祝福,,,,,,,ブロックの祝福,,,
GreenEvolve09FlavourText,Text,,,,,,,,,,,,,,
GreenEvolve10CardDescription,Text,,All units with Evolve inflict Vulnerable 1 when attacking,所有拥有进化的单位攻击造成易伤1,所有擁有進化的單位攻擊造成易傷1,,,,,,,進化を持つ全てのユニットの攻撃が衰弱1を付与する,,,
GreenEvolve10CardName,Text,,Blood Blessing,鲜血祝福,鮮血祝福,,,,,,,血の祝福,,,
GreenEvolve10FlavourText,Text,,,,,,,,,,,,,,
GreenPathCardDescription,Text,,"Little is known about this deep jungle that lies between the Porthaven and the Peak. Merchants rarely trade with the jungle inhabitants, only the foolish wanderers who sometimes walk in too deep.",人们对这个位于尖顶与波特海文之间的深邃丛林知之甚少。 商人极少与丛林居民进行贸易，只有有时走进得太深入的愚蠢流浪者。,人們對這個位於尖頂與波特海文之間的深邃叢林知之甚少。 商人極少與叢林居民進行貿易，只有有時走進得太深入的愚蠢流浪者。,,,,,,,尖塔とポースヴェンの間に横たわるこの深いジャングルについて、人々は殆ど何も知らない。 商人はめったにジャングルの住人と取引しないし、そこに深入りするのは愚かな放浪者だけ。,,,
GreenPathCardName,Text,,Northern Tribe,北境部落,北境部落,,,,,,,北境の部族,,,
GreenPathTooltip,Text,,"An allied deck with low initial values for followers, relying on the constant growth of followers to quickly dominate the battlefield.",随从起始数值较低的同盟牌组，依靠随从的不断成长快速主宰战场。,隨從起始數值較低的同盟牌組，依靠隨從的不斷成長快速主宰戰場。,,,,,,,従者の初期ステータスが低い同盟デッキ、従者の継続的な成長によって戦場を素早く支配することができる。,,,
GroundSlamCardDescription,Text,,Stunned adjacent enemy units,使相邻敌人单位晕眩,使相鄰敵人單位暈眩,,,,,,,隣接する敵ユニットをスタンさせる,,,
GroundSlamCardName,Text,,Seed Eruption,种子喷发,種子噴發,,,,,,,種子噴出,,,
GroundStompCardDescription,Text,,Deal 1 damage to all enemy units,对所有敌方单位造成1点伤害,對所有敵方單位造成1點傷害,,,,,,,全ての敵ユニットに1ダメージを与える,,,
GroundStompCardName,Text,,Desert Caravan Wand,荒漠商队魔杖,荒漠商隊魔杖,,,,,,,砂漠隊商ワンド,,,
GrowKeywordDescription,Text,,Gain +X/+X for each spore card played,每打出一张孢子牌，获得+X/+X,每打出一張孢子牌，獲得+X/+X,,,,,,,フィールドに出した胞子一枚につき、+X/+Xを獲得する,,,
GrowKeywordName,Text,,Wild Grow,野性成长,野性成長,,,,,,,野生の成長,,,
GrowStrengthEffect5CardDescription,Text,,Units have +5/+5.,单位拥有+5/+5,單位擁有+5/+5,,,,,,,全てのユニットが+5/+5を持つ,,,
GrowStrengthEffect5CardName,Text,,Power Grow,力量成长,力量成長,,,,,,,力の成長,,,
GrowStrengthEffectCardDescription,Text,,Units gain +1/+1.,单位获得+1/+1,單位獲得+1/+1,,,,,,,ユニットが+1/+1を獲得する,,,
GrowStrengthEffectCardName,Text,,Power Grow,力量成长,力量成長,,,,,,,力の成長,,,
GuardianKeywordDescription,Text,,"Once per turn, immediately performs an extra attack against enemies that move or are summoned to adjacent tile",一回合一次，对移动、被召唤到相邻格子的敌人立即进行一次额外攻击,一回合一次，對移動、被召喚到相鄰格子的敵人立即進行一次額外攻擊,,,,,,,1ターンに1回。移動、隣接するマスに召喚された敵に、すぐに追加攻撃を1回与える,,,
GuardianKeywordName,Text,,Guardian,守卫,守衛,,,,,,,守衛,,,
HP,Text,,HP,生命值,生命值,,,,,,,HP,,,
HP Lvl:,Text,,Growth:,成长值:,成長值:,,,,,,,成長値：,,,
HP:,Text,,HP:,生命值:,生命值:,,,,,,,HP：,,,
HPAttributeName,Text,,HP,生命值,生命值,,,,,,,HP,,,
HPIncreaseAttributeName,Text,,HP Growth:,生命成长,生命成長,,,,,,,HP成長,,,
HPKeywordDescription,Text,,The unit's HP. The unit will be shattered when its HP becomes 0. The unit's restored HP cannot exceed its Max HP.,单位生命值。当生命值为0时，该单位被摧毁。回复生命时无法超过最大生命值,單位生命值。當生命值為0時，該單位被摧毀。回復生命時無法超過最大生命值,,,,,,,ユニットHP。HPが0になった時、このユニットは破壊される。HPを回復する時、最大HPを超えることはできない,,,
HPKeywordName,Text,,HP,生命值,生命值,,,,,,,HP,,,
HardModeDescription,Text,,Try a bigger challenge,尝试更大的挑战,嘗試更大的挑戰,,,,,,,より難しいチャレンジに挑む,,,
HardModeName,Text,,Hard Mode,困难模式,困難模式,,,,,,,ハードモード,,,
HardenedMushroomCardDescription,Text,,"At the end of your turn, adjacent allied units get Shield 1.",回合开始时，相邻友方单位获得护盾1,回合開始時，相鄰友方單位獲得護盾1,,,,,,,ターン開始時、隣接する味方ユニットがシールド1を獲得する,,,
HardenedMushroomCardName,Text,,Hardened Mushrooms,硬化蘑菇,硬化蘑菇,,,,,,,硬化キノコ,,,
Haste,Text,,Haste,急速,急速,,,,,,,急速,,,
HasteCardDescription,Text,,,,,,,,,,,,,,
HasteCardName,Text,,Haste,急速,急速,,,,,,,急速,,,
HasteKeywordDescription,Text,,Can move and attack immediately after being summoned.,被召唤后可以立即移动和攻击,被召喚後可以立即移動和攻擊,,,,,,,召喚された直後に移動と攻撃が可能,,,
HasteKeywordName,Text,,Haste,急速,急速,,,,,,,急速,,,
HardKeywordDescription,Text,,Take X less damage,受到的伤害减少X点,受到的傷害減少X點,,,,,,,受けるダメージ-X,,,
HardKeywordName,Text,,Toughness,坚硬,堅硬,,,,,,,堅固,,,
HatchEffectCardDescription,Text,,"Incubation Status -1 at the beginning of each turn. When it goes to 0, shatter it and summon a {{LizardWarrior}}.",每回合开始时孵化状态值减1，归零时将其摧毁并召唤一个{{LizardWarrior}},每回合開始時孵化狀態值減1，歸零時將其摧毀並召喚一個{{LizardWarrior}},,,,,,,各ターンの開始時に孵化状態値が1減少し、0になるとこのカードを破壊し、{{LizardWarrior}}を一体召喚する,,,
HatchEffectCardName,Text,,Incubation,孵化,孵化,,,,,,,孵化,,,
Healing Potions,Text,,Healing potion,治愈药水,治癒藥水,,,,,,,回復ポーション,,,
HealingPotionEnemyCardDescription,Text,,Heals 6 HP,治疗6点生命,治療6點生命,,,,,,,HPを6回復する,,,
HealingPotionEnemyCardName,Text,,Healing potion,治愈药水,治癒藥水,,,,,,,回復ポーション,,,
HellfireRainCardDescription,Text,,"Deals 3 damage to all enemies within a straight line of Range 3, and another 2 damage if they have Fire Affliction or Burn",对直线射程3范围内的所有敌人造成3点伤害，如果他们具有火附着或灼烧，则再造成2点伤害,對直線射程3範圍內的所有敵人造成3點傷害，如果他們具有火附著或灼燒，則再造成2點傷害,,,,,,,直線射程3範囲内の全ての敵に3ダメージを与え、炎付着または燃焼を持っている場合はさらに2ダメージを与える,,,
HellfireRainCardName,Text,,Hellfire,地狱之火,地獄之火,,,,,,,地獄の炎,,,
HellfireTorturerCardDescription,Text,,"Range 3
At the start of the turn, deals damage to an enemy hero for 1 time. If your hero or the enemy hero has moved, remove this effect.","射程3
回合开始时，对敌方英雄造成一次攻击伤害。如果你的英雄或者敌方英雄进行了移动，则清除此效果。","射程3
回合開始時，對敵方英雄造成一次攻擊傷害。如果你的英雄或者敵方英雄進行了移動，則清除此效果。",,,,,,,"射程3
ターン開始時、敵ヒーローに攻撃ダメージを一回与える。あなたのヒーローまたは敵ヒーローが移動した場合、この効果を消去する。",,,
HellfireTorturerCardName,Text,,Bone Bandit Leader,骨头匪徒头目,骨頭匪徒頭目,,,,,,,骨の強盗頭領,,,
HellfireTorturerMageCardDescription,Text,,"Range 3
At the start of the turn, deals damage to an enemy hero for 1 time. If your hero or the enemy hero has moved, remove this effect.","射程3
回合开始时，对敌方英雄造成一次攻击伤害。如果你的英雄或者敌方英雄进行了移动，则清除此效果。","射程3
回合開始時，對敵方英雄造成一次攻擊傷害。如果你的英雄或者敵方英雄進行了移動，則清除此效果。",,,,,,,"射程3
ターン開始時、敵ヒーローに攻撃ダメージを一回与える。あなたのヒーローまたは敵ヒーローが移動した場合、この効果を消去する。",,,
HellfireTorturerMageCardName,Text,,Bone Bandit Leader,骨头匪徒头目,骨頭匪徒頭目,,,,,,,骨の強盗頭領,,,
HellfireTorturerMinionCardDescription,Text,,"Range 3
At the start of the turn, deals damage to an enemy hero for 1 time. If your hero or the enemy hero has moved, remove this effect.","射程3
回合开始时，对敌方英雄造成一次攻击伤害。如果你的英雄或者敌方英雄进行了移动，则清除此效果。","射程3
回合開始時，對敵方英雄造成一次攻擊傷害。如果你的英雄或者敵方英雄進行了移動，則清除此效果。",,,,,,,"射程3
ターン開始時、敵ヒーローに攻撃ダメージを一回与える。あなたのヒーローまたは敵ヒーローが移動した場合、この効果を消去する。",,,
HellfireTorturerMinionCardName,Text,,Bone Bandit Leader,骨头匪徒头目,骨頭匪徒頭目,,,,,,,骨の強盗頭領,,,
Hero (Unit),Text,,Hero (Unit),英雄(单位),英雄(單位),,,,,,,ヒーロー（ユニット）,,,
Hero Talents,Text,,Hero Talent,英雄天赋,英雄天賦,,,,,,,ヒーローアビリティ,,,
Hero0_Description,Text,,"I come from the Knight's Fortress in the Green Meadows.
Followers and weapons are my way to victory.","我来自绿意草原的骑士堡垒。
随从和武器是我的制胜之道","我來自綠意草原的騎士堡壘。
隨從和武器是我的制勝之道",,,,,,,"私は緑の草原にある騎士の砦から来ました。
従者と武器は私の勝利への道です",,,
Hero0_DescriptionSelected,Text,,May the fire of knight be rekindled in the homeland.,愿骑士之火在故土重燃,願騎士之火在故土重燃,,,,,,,騎士の火が故郷で再び燃え上がりますように,,,
Hero0_Name,Text,,Patrol Captain Arthur,巡逻长·亚瑟,巡邏長·亞瑟,,,,,,,パトロール隊長・アーサー,,,
Hero1_Description,Text,,"I come from the Glacier Snowfield of the Northern Kingdom.
I can use spells to shatter enemies.","我来自北境王国的冰晶雪原。
擅长使用法术击垮敌人","我來自北境王國的冰晶雪原。
擅長使用法術擊垮敵人",,,,,,,"私は北境王国の氷河雪原からやってきました。
魔法を使って敵を倒すのが私の十八番よ",,,
Hero1_DescriptionSelected,Text,,The trial to become a Grand Mage...,成为大魔导师的试炼…,成為大魔導師的試煉…,,,,,,,大魔道士になるための試練…,,,
Hero1_Name,Text,,Mage Eliya,魔导师·艾莉亚,魔導師·艾莉亞,,,,,,,魔道士・アリア,,,
Hero1_Unlock,Text,,Unlocks after completing the first chapter with Arthur.,使用亚瑟完成第一层剧情后解锁,使用亞瑟完成第一層劇情後解鎖,,,,,,,アーサーで第一階のストーリーをクリアすると解放される,,,
Hero2_Description,Text,,,,,,,,,,,,,,
Hero2_DescriptionSelected,Text,,,,,,,,,,,,,,
Hero2_Name,Text,,K,K,K,,,,,,,K,,,
Hero2_Unlock,Text,,Unlocked after completing the story with Eliya.,使用艾莉亚完成剧情后解锁,使用艾莉亞完成劇情後解鎖,,,,,,,アリアでストーリーをクリアすると解放される,,,
Hero2_UnlockPurchase,Text,,You haven't purchased the DLC1 yet,未拥有dlc1,未擁有dlc1,,,,,,,dlc1を所有していません,,,
HeroBatWarlockCardDescription,Text,,"At the beginning of the turn, [Bat Warlock] can have the following effects based on the affliction of each of our units:
Fire Affliction: ATK +1
Water Affliction: Damage Taken -1
Thunder Affliction: Range +1","回合开始时，根据我方每个单位拥有的附着，【蝙蝠术士】获得以下效果：
火附着：攻击+1
水附着：受到的伤害-1
雷附着：射程+1","回合開始時，根據我方每個單位擁有的附著，【蝙蝠術士】獲得以下效果：
火附著：攻擊+1
水附著：受到的傷害-1
雷附著：射程+1",,,,,,,"ターン開始時、味方の各ユニットが持っている付着に応じ、【コウモリ術師】は以下の効果を獲得：
炎付着：攻撃力+1
水付着：受けるダメージ-1
雷付着：射程+1",,,
HeroBatWarlockCardName,Text,,Bat Warlock,蝙蝠术士,蝙蝠術士,,,,,,,コウモリ術師,,,
HeroBatWarlocknewCardDescription,Text,,"Gain the following effects based on the affliction our unit has:
Fire Affliction: ATK +1
Water Affliction: Heal 2
Thunder Affliction: Rush 1","根据我方单位拥有的附着，获得以下效果：
火附着：攻击+1
水附着：回血2
雷附着：突进1","根據我方單位擁有的附著，獲得以下效果：
火附著：攻擊+1
水附著：回血2
雷附著：突進1",,,,,,,"味方ユニットが持つ付着により、以下の効果を獲得：
炎付着：攻撃力+1
水付着：回復2
雷付着：突進1",,,
HeroBatWarlocknewCardName,Text,,Bat Warlock,蝙蝠术士,蝙蝠術士,,,,,,,コウモリ術師,,,
HeroChaosCardDescription,Text,,"When getting or losing affliction, heals 1 HP and ATK +1 until the end of the next turn.",获得元素附着时，本回合攻击力+1,獲得元素附著時，本回合攻擊力+1,,,,,,,元素付着を獲得すると、このターンの攻撃力+1,,,
HeroChaosCardName,Text,,Chaos,混沌,混沌,,,,,,,カオス,,,
HeroFrenziedDragonRiderCaptainCardDescription,Text,,"When Flying, gains ATK +1 and Rush 1",处于飞行时，获得+1攻击和突进1,處於飛行時，獲得+1攻擊和突進1,,,,,,,飛行中、攻撃力+1、突進1を獲得する,,,
HeroFrenziedDragonRiderCaptainCardName,Text,,Dragon Rider Captain,龙骑团长,龍騎團長,,,,,,,ドラゴンライダー隊長,,,
HeroInfectedChimoCardDescription,Text,,Attack inflicts {{ChimoInfection}}.,攻击施加{{ChimoInfection}},攻擊施加{{ChimoInfection}},,,,,,,攻撃に{{ChimoInfection}}を付与する,,,
HeroInfectedChimoCardName,Text,,Infected,感染体,感染體,,,,,,,感染体,,,
HeroKingsLancerCardDescription,Text,,"If this unit is not adjacent to your followers, ATK +2.",若本单位未与我方随从相邻，攻击+2,若本單位未與我方隨從相鄰，攻擊+2,,,,,,,このユニットが味方従者に隣接していない場合、攻撃力+2,,,
HeroKingsLancerCardName,Text,,Kingdom Guns,王国之枪,王國之槍,,,,,,,王国の銃,,,
HeroLavaDemonCardDescription,Text,,"This unit's initial HP increases 10 times the number of Scorched Field on the field. Range 2, Strong Burn 1.

Strong Burn: This Burn cannot be cleared.","该单位的初始生命增加场上焦土数量*10。射程2，强效灼烧1

强效灼烧：该灼烧不会被清除","該單位的初始生命增加場上焦土數量*10。射程2，強效灼燒1

強效灼燒：該灼燒不會被清除",,,,,,,"このユニットの初期HPが上昇、フィールド上の焦土数×10。射程2、強力燃焼1

強力燃焼：この燃焼は解除されない",,,
HeroLavaDemonCardName,Text,,Lava Demon,熔岩恶魔,熔岩惡魔,,,,,,,溶岩悪魔,,,
HeroNamePrompt,Text,,A new hero has entered the dungeon! May I know your name?,一位新英雄踏进地牢！敢问英雄大名？,一位新英雄踏進地牢！敢問英雄大名？,,,,,,,新しいヒーローがダンジョンに入った！お名前を伺ってもよろしいでしょうか？,,,
HeroSleepingDemonCardDescription,Text,,"Summon Stun 99. When this unit is shattered, or there are 6 or more Scorched Field on the field, exhaust this unit and generate a [Lava Demon] with the same HP at the same location, replacing [Strange Heat Wave] with [Hellfire].",召唤眩晕99。当本单位被摧毁，或场上焦土数量不少于6个时，移除该单位，在原位置生成一只相同生命的【熔岩恶魔】，将【诡异的热浪】替换为【狱炎】,召喚眩暈99。當本單位被摧毀，或場上焦土數量不少於6個時，移除該單位，在原位置生成一隻相同生命的【熔岩惡魔】，將【詭異的熱浪】替換為【獄炎】,,,,,,,召喚スタン99。このユニットが破壊されると、またはフィールド上の焦土が6個以上の時、このユニットが削除され、元の位置に同じHPを持つ【溶岩悪魔】を生成し、【不気味な熱波】を【獄炎】に変更する,,,
HeroSleepingDemonCardName,Text,,Sleeping Demon,沉睡的恶魔,沉睡的惡魔,,,,,,,眠る悪魔,,,
Hidden AchievementsCardDescription,Text,,,,,,,,,,,,,,
Hidden AchievementsCardName,Text,,,,,,,,,,,,,,
HideShow,Text,,Hide/Show Battlefield,隐藏/显示战场,隱藏/顯示戰場,,,,,,,戦場を表示/非表示,,,
HighPressureCardDescription,Text,,"Until the beginning of the next turn, enemy units take 2 damage each time they move.",直到下一回合开始，敌方单位每次移动时都会受到2点伤害,直到下一回合開始，敵方單位每次移動時都會受到2點傷害,,,,,,,次のターン開始時まで、敵ユニットが移動するたびに、2ダメージを受ける,,,
HighPressureCardName,Text,,Lock,锁定,鎖定,,,,,,,ロック,,,
Hit Points,Text,,HP,生命值,生命值,,,,,,,HP,,,
HookEmenemy2CardDescription,Text,,"Let an allied unit immediately move to your side. If there are no available tiles nearby, it will have Thrust 1 instead.",一个友方单位立即移动到自己身旁，如果周围没有可用的格子，则改为给予其突进1,一個友方單位立即移動到自己身旁，如果周圍沒有可用的格子，則改為給予其突進1,,,,,,,すぐに味方ユニット1体を自分の隣に移動させる。周囲に使用できるマスがない場合、突進1を付与することになる,,,
HookEmenemy2CardName,Text,,Fast Move,快速移动,快速移動,,,,,,,高速移動,,,
HookEmenemyCardDescription,Text,,"Pull a follower to your side. If there are no available tiles nearby, stun the follower instead.",将一个随从拉到到自己身旁，如果周围没有可用的格子，则改为昏迷该随从,將一個隨從拉到到自己身旁，如果周圍沒有可用的格子，則改為昏迷該隨從,,,,,,,従者1体を自分の隣に引き寄せる。周囲に使用できるマスがない場合、その従者をスタンさせる,,,
